ENTITY_NAME,TICKER,INDUSTRY,SECTOR,PRIMARY_INDUSTRY,MARKETCAP,TEV,TOTAL_REV_LTM,TOTAL_REV_FY2024,TOTAL_REV_FY2023,TOTAL_REV_FY2022,TOTAL_REV_FY2021,EBITDA_LTM,EBITDA_FY2024,EBITDA_FY2023,EBITDA_FY2022,EBITDA_FY2021,EBIT_LTM,EBIT_FY2024,EBIT_FY2023,EBIT_FY2022,EBIT_FY2021,INTEREST_EXPENSE_LTM,INTEREST_EXPENSE_FY2024,INTEREST_EXPENSE_FY2023,INTEREST_EXPENSE_FY2022,INTEREST_EXPENSE_FY2021,NET_INCOME_LTM,NET_INCOME_FY2024,NET_INCOME_FY2023,NET_INCOME_FY2022,NET_INCOME_FY2021,CASH_EQUIV_LTM,CASH_EQUIV_FY2024,CASH_EQUIV_FY2023,CASH_EQUIV_FY2022,CASH_EQUIV_FY2021,TOTAL_ASSETS_LTM,TOTAL_ASSETS_FY2024,TOTAL_ASSETS_FY2023,TOTAL_ASSETS_FY2022,TOTAL_ASSETS_FY2021,TOTAL_DEBT_LTM,TOTAL_DEBT_FY2024,TOTAL_DEBT_FY2023,TOTAL_DEBT_FY2022,TOTAL_DEBT_FY2021,TOTAL_EQUITY_LTM,TOTAL_EQUITY_FY2024,TOTAL_EQUITY_FY2023,TOTAL_EQUITY_FY2022,TOTAL_EQUITY_FY2021,TOTAL_REV_1YR_ANN_GROWTH_LTM,TOTAL_REV_1YR_ANN_GROWTH_FY2024,TOTAL_REV_1YR_ANN_GROWTH_FY2023,TOTAL_REV_1YR_ANN_GROWTH_FY2022,TOTAL_REV_1YR_ANN_GROWTH_FY2021,GROSS_MARGIN_LTM,GROSS_MARGIN_FY2024,GROSS_MARGIN_FY2023,GROSS_MARGIN_FY2022,GROSS_MARGIN_FY2021,EBITDA_MARGIN_LTM,EBITDA_MARGIN_FY2024,EBITDA_MARGIN_FY2023,EBITDA_MARGIN_FY2022,EBITDA_MARGIN_FY2021,EBIT_MARGIN_LTM,EBIT_MARGIN_FY2024,EBIT_MARGIN_FY2023,EBIT_MARGIN_FY2022,EBIT_MARGIN_FY2021,NET_MARGIN_LTM,NET_MARGIN_FY2024,NET_MARGIN_FY2023,NET_MARGIN_FY2022,NET_MARGIN_FY2021,DEBT_TO_EQUITY_LTM,DEBT_TO_EQUITY_FY2024,DEBT_TO_EQUITY_FY2023,DEBT_TO_EQUITY_FY2022,DEBT_TO_EQUITY_FY2021,DEBT_TO_EBITDA_LTM,DEBT_TO_EBITDA_FY2024,DEBT_TO_EBITDA_FY2023,DEBT_TO_EBITDA_FY2022,DEBT_TO_EBITDA_FY2021,ROA_LTM,ROA_FY2024,ROA_FY2023,ROA_FY2022,ROA_FY2021,ROC_LTM,ROC_FY2024,ROC_FY2023,ROC_FY2022,ROC_FY2021,ROE_LTM,ROE_FY2024,ROE_FY2023,ROE_FY2022,ROE_FY2021,LFCF_MARGIN_LTM,LFCF_MARGIN_FY2024,LFCF_MARGIN_FY2023,LFCF_MARGIN_FY2022,LFCF_MARGIN_FY2021,UFCF_MARGIN_LTM,UFCF_MARGIN_FY2024,UFCF_MARGIN_FY2023,UFCF_MARGIN_FY2022,UFCF_MARGIN_FY2021,CURRENT_RATIO_LTM,CURRENT_RATIO_FY2024,CURRENT_RATIO_FY2023,CURRENT_RATIO_FY2022,CURRENT_RATIO_FY2021,UNLEVERED_FCF_LTM,UNLEVERED_FCF_FY2024,UNLEVERED_FCF_FY2023,UNLEVERED_FCF_FY2022,UNLEVERED_FCF_FY2021,LEVERED_FCF_LTM,LEVERED_FCF_FY2024,LEVERED_FCF_FY2023,LEVERED_FCF_FY2022,LEVERED_FCF_FY2021,EV/REVENUE_LTM,EV/EBITDA_LTM,EV/EBIT_LTM,EV/UFCF_LTM,EV/REVENUE_FY2024,EV/EBITDA_FY2024,EV/EBIT_FY2024,EV/UFCF_FY2024,EV/REVENUE_FY2023,EV/EBITDA_FY2023,EV/EBIT_FY2023,EV/UFCF_FY2023,EV/REVENUE_FY2022,EV/EBITDA_FY2022,EV/EBIT_FY2022,EV/UFCF_FY2022,EV/REVENUE_FY2021,EV/EBITDA_FY2021,EV/EBIT_FY2021,EV/UFCF_FY2021,PE_LTM,PE_FY2024,PE_FY2023,PE_FY2022,PE_FY2021,PBV_LTM,PBV_FY2024,PBV_FY2023,PBV_FY2022,PBV_FY2021,EV/REVENUE_FWD_2025,EV/REVENUE_FWD_2026,EV/REVENUE_FWD_2027,EV/EBITDA_FWD_2025,EV/EBITDA_FWD_2026,EV/EBITDA_FWD_2027,EV/EBIT_FWD_2025,EV/EBIT_FWD_2026,EV/EBIT_FWD_2027,PE_FWD_2025,PE_FWD_2026,PE_FWD_2027,PBV_FWD_2025,PBV_FWD_2026,PBV_FWD_2027,PRICE_CLOSE_2025,PRICE_CLOSE_2024,PRICE_CLOSE_2023,PRICE_CLOSE_2022,PRICE_CLOSE_2021,FLOAT_SHARES_PERCENT,SHARES_OUT_2025,SHARES_OUT_2024,SHARES_OUT_2023,SHARES_OUT_2022,SHARES_OUT_2021,BETA_3YR_COUNTRY,BETA_3YR_INDUSTRY,BETA_RSQUARED_3YR_COUNTRY,BETA_RSQUARED_3YR_INDUSTRY,COMMON_DIV_DECLARED_LTM,COMMON_DIV_DECLARED_FY2024,COMMON_DIV_DECLARED_FY2023,COMMON_DIV_DECLARED_FY2022,COMMON_DIV_DECLARED_FY2021,PAYOUT_RATIO_LTM,PAYOUT_RATIO_FY2024,PAYOUT_RATIO_FY2023,PAYOUT_RATIO_FY2022,PAYOUT_RATIO_FY2021
Qualicorp Consultoria e Corretora de Seguros S.A. (BOVESPA:QUAL3),QUAL3,Health Care Providers and Services,Health Care,Managed Health Care,697.68,"1,662.00","1,506,359","1,580,459","1,749,906","1,951,408","2,096,548","316,138","277,411","577,199","782,600","1,002,269","194,848","185,348","118,003","367,181","639,427","275,694","282,194","340,467","711,152","228,408","16,663","15,063","-75,375","101,478","377,306","258,500","322,307","394,589","377,129","449,462","3,806,900","4,366,325","4,509,325","4,512,028","4,403,581","1,381,500","1,881,851","2,237,213","2,257,712","2,226,211","1,336,400","1,301,570","1,285,533","1,356,594","1,275,049",-9.26,-9.68,-10.33,-6.92,3.49,85.28,83.15,78.92,77.24,79.69,20.99,17.55,32.99,40.1,47.81,12.94,11.73,6.74,18.82,30.5,0.57,0.42,-4.71,4.76,17.45,103.38,144.58,174.03,166.43,174.6,4.37,6.49,3.77,2.89,2.22,2.99,2.61,1.64,5.15,9.07,4.08,3.46,2.07,6.45,12.26,1.25,1.16,-5.71,7.71,25.63,17.58,17.58,0.71,-14.21,0.23,28.74,28.74,12.87,8.57,7.04,1.1,1.1,1.24,1.78,0.48,"418,515","454,190","225,201","167,258","147,669","246,206","277,818","12,409","-277,212","4,914",1.1,5.26,8.53,3.97,1.05,5.73,8.97,3.66,1.05,5.73,8.97,3.66,1.55,5.73,8.97,3.66,1.05,5.73,8.97,3.66,82.67,NM,10.24,4.48,12.07,0.53,0.34,0.71,1.29,2.81,1.05,1.03,0.97,2.68,2.8,2.64,5.76,4.66,4.06,9.2,5.9,4.7,0.5,0.5,0.4,2.48,1.54,3.41,5.9,16.65,52.5,"281,323,576","281,106,076","278,777,063","278,316,535","277,619,178",2.09,1.05,0.27,0.36,NA,0.006,0.079,0.079,0.318,NA,NA,NM,76.44,169.22
Raia Drogasil S.A. (BOVESPA:RADL3),RADL3,Consumer Staples Distribution and Retail,Consumer Staples,Drug Retail,"31,245.19","39,075.50","40,958,794","38,864,455","33,973,790","29,067,380","24,127,002","3,155,373","3,061,095","2,815,134","2,465,797","1,890,404","2,402,227","2,355,044","2,162,367","1,860,309","1,326,945","890,555","822,091","744,702","564,417","320,318","1,235,253","1,209,203","1,087,143","1,014,968","764,133","527,020","528,002","412,321","433,541","356,118","23,052,470","22,141,690","20,094,412","17,185,306","14,775,506","8,420,909","7,695,215","7,067,464","6,057,912","5,178,120","6,686,574","6,442,195","6,028,301","5,402,941","4,718,802",12.56,14.4,16.88,20.48,20.23,29.4,29.72,30.05,30.39,29.87,7.7,7.88,8.29,8.48,7.84,5.87,6.06,6.37,6.4,5.5,2.98,3.08,3.11,3.43,3.12,125.94,119.45,117.24,112.12,109.73,2.04,1.92,1.9,1.85,2,6.86,6.97,7.25,7.28,5.8,10.4,10.81,11.01,10.89,8.55,19.19,19.39,19.02,20.06,16.71,4.07,4.07,1.52,0.76,2.96,5.37,5.37,2.87,1.96,3.77,1.38,1.38,1.43,1.5,1.31,"2,003,520","2,086,079","976,501","569,651","909,679","1,459,375","1,581,643","516,365","221,530","713,801",0.95,9.47,16.27,19.5,1.01,9.76,16.58,18.73,1.01,9.76,16.58,18.73,1.85,9.76,16.58,18.73,1.01,9.76,16.58,18.73,24.68,35.37,50.36,52.02,82.07,4.68,6.33,9.36,8.32,9.1,0.9,0.78,0.69,9.29,7.97,6.95,17.01,13.97,11.94,25.9,19.3,15.4,4.3,3.9,3.5,18.24,22,29.16,22.73,23.14,73.56,"1,713,003,817","1,715,126,309","1,714,382,358","1,713,657,331","1,713,046,031",0.87,0.6,0.19,0.28,NA,NA,0.212,NA,NA,44.66,39.62,44.16,32.54,35.25
Raízen S.A. (BOVESPA:RAIZ4),RAIZ4,Specialty Retail,Consumer Discretionary,Automotive Retail,"10,644.27","68,950.40","251,726,559","220,454,239","245,831,790","191,269,874","89,415,311","8,812,768","14,625,052","14,051,901","10,943,576","3,157,422","2,028,082","8,069,544","7,904,828","6,273,259","1,993,027","5,628,683","5,098,342","3,781,928","1,808,576","409,318","-7,086,779","614,133","2,503,326","3,249,563","1,039,344","14,596,280","14,819,906","8,733,396","8,234,568","2,604,779","135,725,711","128,183,310","111,551,463","100,344,344","31,392,153","72,884,954","48,509,235","41,502,556","33,976,205","8,072,046","16,830,327","22,125,564","22,904,161","22,258,908","5,609,842",9.74,-10.32,28.53,113.91,-11.42,4.48,7.13,6.21,6.12,4.84,3.5,6.63,5.72,5.72,3.53,0.81,3.66,3.22,3.28,2.23,-2.84,0.24,0.99,1.65,1.11,433.06,219.25,181.2,152.64,143.89,6.16,2.73,2.44,2.59,2.34,0.93,4.21,4.66,5.95,4.11,1.5,7.47,8.19,11.22,9.24,-35.36,2.73,11.09,23.32,21.29,-1.01,0.56,0.84,0.42,4.05,0.27,2.01,1.8,1.01,4.33,1.33,1.1,1.06,1.16,1.12,"-1,007,163","4,426,624","4,432,895","1,935,853","3,874,058","-4,525,090","1,240,160","2,069,190","805,493","3,618,234",0.27,5.94,38.26,NM,0.27,4.92,16.2,98.51,0.27,4.92,16.2,98.51,0.41,4.92,16.2,98.51,0.27,4.92,16.2,98.51,NM,42.4,17.2,12.11,10.35,0.66,1.02,1.88,1.76,1.94,0.3,0.3,0.29,5.51,5.58,4.87,15.27,16.7,12.03,NM,NM,NM,0.9,0.6,0.7,1.03,2.12,4.06,3.68,5.92,11.8,"10,334,245,810","10,334,163,488","10,326,114,838","10,352,509,484","10,352,509,484",1.37,0.71,0.27,0.21,NA,0.191,0.222,0.066,NA,NM,132.74,89.84,68.78,2.34
Randoncorp S.A. (BOVESPA:RAPT4),RAPT4,Machinery,Industrials,Construction Machinery and Heavy Transportation Equipment,"1,985.33","10,873.90","12,883,126","11,915,741","10,887,843","11,152,417","9,057,457","1,719,593","1,711,690","1,581,914","1,504,103","1,300,226","1,430,340","1,450,502","1,361,838","1,302,554","1,122,057","729,057","555,629","579,475","535,211","206,866","441,599","691,696","663,489","666,402","884,711","1,693,480","2,252,138","2,864,807","2,504,862","1,890,759","17,465,355","15,437,636","12,820,143","12,882,347","10,719,787","9,338,617","7,006,487","5,631,463","5,694,049","4,768,794","4,332,772","4,507,688","3,895,390","3,821,266","3,274,740",17.38,9.44,-2.37,23.13,68.89,25.85,26.72,25.66,23.54,25.04,13.35,14.37,14.53,13.49,14.36,11.1,12.17,12.51,11.68,12.39,1.53,3.43,3.51,4.23,7.71,215.53,155.43,144.57,149.01,145.62,5.23,3.94,3.45,3.68,3.56,5.7,6.42,6.62,6.9,7.14,7.39,8.62,8.94,9.27,9.68,10.26,16.46,17.19,18.76,29.78,-7.23,-7.23,4.64,5.86,-10.11,-4.31,-4.31,7.97,8.86,-8.69,1.91,1.91,1.82,2.01,1.66,"-1,134,817","-514,061","867,374","987,720","-786,818","-1,590,477","-861,329","505,202","653,213","-916,110",0.84,6,7.47,NM,0.91,6.08,7.45,NM,0.91,6.08,7.45,NM,0.75,6.08,7.45,NM,0.91,6.08,7.45,NM,10.13,8.5,8.94,3.8,5.41,0.65,1.17,1.53,1.05,1.73,0.82,0.76,0.7,6.32,5.28,4.67,9.48,7.08,5.92,32.1,5.1,3.1,0.5,0.5,0.4,6.09,9.89,12.82,8.06,10.73,47.42,"328,293,533","328,293,533","328,293,527","328,611,527","329,330,533",1.1,0.88,0.28,0.29,0.209,0.364,0.582,0.503,0.644,45.71,34.2,22.92,70.31,37.56
RB Capital Renda I Fundo de Investimento Imobiliário - FII (BOVESPA:FIIP11),FIIP11,Diversified REITs,Real Estate,Diversified REITs,148.34,NA,"17,570",NA,"17,570","16,953","9,287",NA,NA,NA,NA,NA,"15,203",NA,"15,203","15,051","6,780",NA,NA,NA,NA,NA,"31,015",NA,"31,015","1,839","13,014","2,213",NA,"2,213","3,818","5,183","189,833",NA,"189,833","173,853","186,540",0,NA,0,0,0,"188,376",NA,"188,376","172,465","184,975",3.64,NA,3.64,82.55,-68.22,93.51,NA,93.51,94.01,85.53,NA,NA,NA,NA,NA,86.53,NA,86.53,88.78,73.01,176.52,NA,176.52,10.85,140.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,NA,5.23,5.22,2.23,5.27,NA,5.27,5.26,2.3,17.19,NA,17.19,1.03,7.08,54.22,NA,54.22,51.93,-1.24,54.22,NA,54.22,51.93,-1.24,4.22,NA,4.22,5.56,5.53,"9,526",NA,"9,526","8,803",-116,"9,526",NA,"9,526","8,803",-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,4.78,4.06,5.2,73.78,11.72,0.79,0.67,0.86,0.79,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.99,135.79,173.89,146.3,164.53,NA,"927,162","927,162","927,162","927,162","927,162",0,0.1,0,0.01,NA,NA,NA,NA,NA,48.24,NA,48.24,778.85,151.34
RDVC City S.A. (BOVESPA:CCTY3),CCTY3,Real Estate Management and Development,Real Estate,Real Estate Development,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.94,NA,NA,NA,NA,NA,"153,464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REAG Capital Holding S.A.,,Capital Markets,Financials,Asset Management and Custody Banks,NA,NA,"81,403",NA,NA,"81,403","41,007","16,235",NA,NA,"16,235","12,196","16,077",NA,NA,"16,077","12,026","18,960",NA,NA,"18,960",947,"4,910",NA,NA,"4,910","8,123","7,160",NA,NA,"7,160","3,885","234,996",NA,NA,"234,996","56,310","5,722",NA,NA,"5,722","3,814","184,083",NA,NA,"184,083","41,641",98.51,NA,NA,98.51,149.75,100,NA,NA,100,100,19.94,NA,NA,19.94,29.74,19.75,NA,NA,19.75,29.33,13.73,NA,NA,13.73,19.83,3.11,NA,NA,3.11,9.16,0.31,NA,NA,0.31,0.28,6.9,NA,NA,6.9,21.65,8.54,NA,NA,8.54,27.13,4.35,NA,NA,4.35,34.5,-170.96,NA,NA,-170.96,17.34,-156.4,NA,NA,-156.4,18.79,6.78,NA,NA,6.78,2.26,"-127,315",NA,NA,"-127,315","7,704","-139,165",NA,NA,"-139,165","7,112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.88
REAG Investimentos S.A. (BOVESPA:REAG3),REAG3,Diversified Consumer Services,Consumer Discretionary,Specialized Consumer Services,348.25,55.5,"60,167",NA,"61,699","57,028","62,435","-16,336",NA,"-16,393","-47,570","-51,708","-19,202",NA,"-19,596","-48,671","-52,088",397,NA,256,154,266,"13,307",NA,"3,687","-15,843","-41,004","5,264",NA,"24,285","1,857","293,276","313,039",NA,"297,689","298,030","306,630","1,122",NA,"1,376","1,422",0,"293,687",NA,"280,335","278,757","286,746",-2.15,NA,8.19,-8.66,49.35,85.87,NA,89.39,90.28,90.18,-27.15,NA,-26.57,-83.42,-82.82,-31.92,NA,-31.76,-85.35,-83.43,22.12,NA,5.98,-27.78,-65.68,0.38,NA,0.49,0.51,NA,NM,NA,NM,NM,NA,-3.89,NA,-4.11,-10.06,-20.69,-4.13,NA,-4.36,-10.73,-23.12,4.6,NA,1.32,-5.6,-29.13,-42.78,NA,-42.78,-51.3,-47.79,-42.52,NA,-42.52,-51.13,-47.53,17.7,NA,17.7,12.99,15.15,"-16,678",NA,"-26,232","-29,157","-29,673","-16,926",NA,"-26,392","-29,254","-29,839",0.92,NM,NM,NM,0.9,NM,NM,NM,0.9,NM,NM,NM,NM,NM,NM,NM,0.9,NM,NM,NM,9.5,68.47,NM,NM,NM,0.43,0.89,0.9,0.49,NM,3.21,NM,NM,NA,NM,NM,NM,NM,NM,NM,NA,NA,3.6,NA,NA,2.47,4.93,4.97,2.78,5.51,NM,"140,991,806","140,991,806","50,797,017","50,224,613","50,224,613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recrusul S/A (BOVESPA:RCSL4),RCSL4,Machinery,Industrials,Industrial Machinery and Supplies and Components,39.91,48.4,"6,123","19,854","56,747","74,091","59,561","-16,365","-13,884",-967,"8,255","1,710","-16,734","-14,861","-2,297","7,109",830,"5,899","4,858","2,883","19,736","2,468","-22,637","-19,719","-5,177","-12,699","-1,632",4,5,531,"1,555","4,552","41,658","46,867","60,626","58,155","66,205","8,478","5,221","1,606","2,682",38,"-23,648","-17,477",473,"-5,678","-41,185",-83.66,-65.01,-23.41,24.4,108.88,3.23,8.52,11.16,12.18,13.47,-267.27,-69.93,-1.7,11.14,2.87,-273.3,-74.85,-4.05,9.6,1.39,NM,-92.52,-9.12,-17.34,-2.75,NM,NM,339.54,NM,NM,NM,NM,NM,0.33,0.02,-21.08,-17.28,-2.42,7.15,0.94,135.46,182.53,313.11,-20.13,-0.98,173.94,231.93,198.92,54.2,3.08,5.51,5.51,-9.52,-16.72,-21.61,20.81,20.81,-6.35,-0.07,-19.03,0.64,0.64,1.34,1.32,1.15,"-2,077","4,131","-3,601",-55,"-11,331","-5,766","1,095","-5,403","-12,390","-12,874",7.9,NM,NM,NM,2.44,NM,NM,11.71,2.44,NM,NM,11.71,0.63,NM,NM,11.71,2.44,NM,NM,11.71,NM,NM,NM,NM,NM,NM,76.67,NM,NM,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.15,3.48,5.28,22.88,74.56,"31,822,294","31,822,294","31,822,293","4,738,960","4,738,960",0.43,0.38,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rede D'Or São Luiz S.A. (BOVESPA:RDOR3),RDOR3,Health Care Providers and Services,Health Care,Health Care Facilities,"91,668.12","97,124.60","52,806,003","50,571,261","46,508,558","22,987,443","20,381,883","9,822,938","8,686,252","6,605,803","4,896,351","4,545,424","8,414,524","7,388,909","5,461,273","3,815,886","3,606,851","4,571,451","4,106,044","4,000,324","3,346,193","1,874,173","4,217,633","3,934,120","2,113,701","1,262,317","1,677,735","5,078,114","6,570,751","3,267,408","1,109,796","124,621","105,709,758","102,597,882","90,342,356","86,678,327","51,970,614","43,471,023","44,692,102","38,969,496","38,174,643","31,878,211","27,894,450","26,701,868","23,835,646","22,707,734","14,677,939",9.22,8.74,102.32,12.78,45.28,19.84,18.71,16.28,22.63,23.6,18.6,17.18,14.2,21.3,22.3,15.94,14.61,11.74,16.6,17.7,7.79,7.61,4.39,5.2,7.73,155.84,167.37,163.49,168.11,217.19,4.27,4.95,5.6,7.31,6.59,5.23,4.79,3.86,3.44,4.62,7.65,6.88,5.52,4.44,5.12,15.9,15.57,9.08,6.75,11.7,4.04,4.04,0.29,16.84,-10.64,9.11,9.11,5.66,25.94,-4.89,2.88,2.88,3.03,2.75,4.29,"5,476,098","4,608,507","2,633,388","5,963,408","-996,576","2,618,941","2,042,230","133,185","3,872,037","-2,167,934",1.84,9.5,11.48,17.74,1.92,10.71,13.06,21.08,1.92,10.71,13.06,21.08,4.05,10.71,13.06,21.08,1.92,10.71,13.06,21.08,22.24,27.93,54.54,NA,NA,3.61,2.53,2.98,4.36,6.38,1.71,1.53,1.39,9.39,8.22,7.25,12.35,10.35,8.91,20.5,16.5,13.4,3.3,3,2.7,41.54,25.28,28.85,30.06,44.72,44.54,"2,206,743,408","2,242,084,127","2,254,606,710","1,974,032,999","1,971,453,239",1.38,0.9,0.39,0.78,0.229,NA,0.369,0.507,1.329,43.68,35.9,41.61,58.28,194.98
Rede Energia Participações S.A. (BOVESPA:REDE3),REDE3,Electric Utilities,Utilities,Electric Utilities,"13,337.24","29,406.60","18,742,889","17,884,954","16,131,441","15,119,769","15,344,648","4,614,460","4,593,575","4,997,199","4,140,013","3,552,898","3,759,927","3,773,590","4,253,662","3,451,540","2,917,564","1,343,633","1,173,824","1,059,385","1,689,614","1,456,349","1,902,400","2,008,005","2,297,216","2,036,123","1,831,869","290,073","225,695","376,132","343,498","275,772","31,875,451","30,059,241","27,652,729","25,256,054","24,195,375","17,811,650","16,068,969","13,099,832","11,197,828","10,057,253","6,504,910","6,485,030","5,968,436","5,512,016","4,899,372",10.19,10.87,6.69,-1.47,35.82,28.71,29.6,34.61,28.86,24.1,24.62,25.68,30.98,27.38,23.15,20.06,21.1,26.37,22.83,19.01,7.48,8.25,10.28,9.83,8.91,273.82,247.79,219.49,203.15,205.28,3.85,3.49,2.62,2.71,2.83,7.66,8.17,10.05,8.73,7.99,10.41,11.33,14.86,13.63,12.23,29.52,32.25,40.02,39.11,35.07,-1.83,-1.83,5.24,2.37,-7.12,2.27,2.27,9.34,9.35,-1.19,1.38,1.38,1.21,1.31,1.29,"378,823","406,550","1,506,981","1,414,265","-181,914","-460,947","-327,090","844,865","358,256","-1,092,132",1.57,6.36,7.82,77.63,1.64,6.39,7.79,72.33,1.64,6.39,7.79,72.33,1.42,6.39,7.79,72.33,1.64,6.39,7.79,72.33,9.59,7.98,9.26,7.28,15.46,3.05,3.29,3.57,3.08,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32,6.27,6.52,5.42,6.71,0.43,"2,110,323,374","2,110,323,374","2,110,323,374","2,110,323,374","2,110,323,374",0.21,0.55,0.01,0.09,0.297,0.53,0.75,0.575,0.499,130.47,103.97,114.16,97.77,188.97
Refinaria de Petróleos de Manguinhos S.A. (BOVESPA:RPMG3),RPMG3,"Oil, Gas and Consumable Fuels",Energy,Oil and Gas Refining and Marketing,186.13,130.9,"8,642,548","6,983,506","5,041,332","4,981,609","2,211,159","-1,766,972","-1,240,547","-1,129,787","-960,875","-285,051","-1,811,374","-1,273,248","-1,142,678","-965,602","-288,956","82,228","107,975","62,846","74,034","72,676","-1,658,781","-1,041,274","-979,209","-935,952","-361,848","53,243","93,092",6,"1,011",13,"10,287,823","8,693,163","5,973,871","5,044,804","4,196,772",0,"2,756","1,108",500,389,"-7,435,394","-6,512,155","-5,470,881","-4,491,672","-3,555,720",68.31,38.53,1.2,125.29,47.85,-14.43,-11.01,-15.15,-12.68,-2.78,-20.45,-17.76,-22.41,-19.29,-12.89,-20.96,-18.23,-22.67,-19.38,-13.07,-19.19,-14.91,-19.42,-18.79,-16.36,NA,NM,NM,NM,NM,NA,NM,NM,NM,NM,-12.83,-10.85,-12.96,-13.06,-4.86,17.14,13.29,14.34,15,5.35,25.11,17.38,19.66,23.26,10.72,-57.09,-57.09,-1.04,6.99,4.07,-56.12,-56.12,-0.26,7.92,6.12,0.82,0.82,0.53,0.53,0.55,"981,539","-3,919,373","-12,954","394,677","135,375","930,147","-3,986,857","-52,233","348,406","89,952",0.02,NM,NM,0.13,0.02,NM,NM,NM,0.02,NM,NM,NM,0.05,NM,NM,NM,0.02,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.56,2.09,1.8,2.8,30.54,"67,684,280","67,684,280","67,684,280","67,684,280","67,684,280",0.27,0.4,0.01,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REII Inc. (OTCBB:REIC),REIC,Real Estate Management and Development,Real Estate,Real Estate Operating Companies,NA,NA,31,NA,NA,NA,NA,-713,NA,NA,NA,NA,-731,NA,NA,NA,NA,1,NA,NA,NA,NA,-2,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,-12,NA,NA,NA,NA,-86.74,NA,NA,NA,NA,25.47,NA,NA,NA,NA,NM,NA,NA,NA,NA,NM,NA,NA,NA,NA,-7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.95,NA,NA,NA,NA,-82.94,NA,NA,NA,NA,-0.51,NA,NA,NA,NA,NM,NA,NA,NA,NA,-293.29,NA,NA,NA,NA,258.93,NA,NA,NA,NA,-440,NA,NA,NA,NA,-441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191114,NA,NA,NA,NA,NM,NA,NA,NA,NA
